SpeciesCode,HUCID
IsotriaMedeoloides,0108010303
IsotriaMedeoloides,0106000201
IsotriaMedeoloides,0106000204
IsotriaMedeoloides,0108010305
IsotriaMedeoloides,0108010306
IsotriaMedeoloides,0104000208
IsotriaMedeoloides,0108010304
IsotriaMedeoloides,0104000209
IsotriaMedeoloides,0108010301
IsotriaMedeoloides,0104000207
IsotriaMedeoloides,0104000201
IsotriaMedeoloides,0108010302
IsotriaMedeoloides,0108010204
IsotriaMedeoloides,0104000202
IsotriaMedeoloides,0104000206
IsotriaMedeoloides,0104000203
IsotriaMedeoloides,0104000205
IsotriaMedeoloides,0104000106
IsotriaMedeoloides,0104000102
IsotriaMedeoloides,0104000204
IsotriaMedeoloides,0104000104
IsotriaMedeoloides,0108010101
IsotriaMedeoloides,0104000101
IsotriaMedeoloides,0104000103
IsotriaMedeoloides,0406020000
LithobatesKauffeldi,0202000703
LithobatesKauffeldi,0202000704
LithobatesKauffeldi,0202000705
LithobatesKauffeldi,0202000706
LithobatesKauffeldi,0202000801
LithobatesKauffeldi,0202000802
LithobatesKauffeldi,0202000803
LithobatesKauffeldi,0202000804
LithobatesKauffeldi,0202000805
LithobatesKauffeldi,0203010101
LithobatesKauffeldi,0203010202
LithobatesKauffeldi,0203020101
LithobatesKauffeldi,0203020102
LithobatesKauffeldi,0203020103
LithobatesKauffeldi,0203020104
LithobatesKauffeldi,0203020201
LithobatesKauffeldi,0203020202
LithobatesKauffeldi,0203020203
LithobatesKauffeldi,0203020204
LithobatesKauffeldi,0203020205
LithobatesKauffeldi,0203020206
LithobatesKauffeldi,0203020207
LithobatesKauffeldi,0203020208
LithobatesKauffeldi,0203020209
LithobatesKauffeldi,0204010401
LithobatesKauffeldi,0204010402
LithobatesKauffeldi,0208010904
LithobatesKauffeldi,0204020400
LithobatesKauffeldi,0204030306
LithobatesKauffeldi,0204020504
LithobatesKauffeldi,0204010404
LithobatesKauffeldi,0204010406
LithobatesKauffeldi,0204010408
LithobatesKauffeldi,0204010409
LithobatesKauffeldi,0204010503
LithobatesKauffeldi,0204010507
LithobatesKauffeldi,0204020102
LithobatesKauffeldi,0204020103
LithobatesKauffeldi,0204020301
LithobatesKauffeldi,0204020302
LithobatesKauffeldi,0204020303
LithobatesKauffeldi,0204020304
LithobatesKauffeldi,0204020305
LithobatesKauffeldi,0204020306
LithobatesKauffeldi,0204020307
LithobatesKauffeldi,0204020308
LithobatesKauffeldi,0204020309
LithobatesKauffeldi,0204020310
LithobatesKauffeldi,0204020501
LithobatesKauffeldi,0204020502
LithobatesKauffeldi,0110000505
LithobatesKauffeldi,0203010102
LithobatesKauffeldi,0203010201
LithobatesKauffeldi,0203010104
LithobatesKauffeldi,0205030602
LithobatesKauffeldi,0205030603
LithobatesKauffeldi,0205030604
LithobatesKauffeldi,0205030605
LithobatesKauffeldi,0205030606
LithobatesKauffeldi,0205030608
LithobatesKauffeldi,0205030609
LithobatesKauffeldi,0205030610
LithobatesKauffeldi,0205030611
LithobatesKauffeldi,0205030614
LithobatesKauffeldi,0205030601
LithobatesKauffeldi,0205030607
LithobatesKauffeldi,0205030613
LithobatesKauffeldi,0205030615
LithobatesKauffeldi,0205030617
LithobatesKauffeldi,0204020503
LithobatesKauffeldi,0204010506
LithobatesKauffeldi,0204020203
